content,source,cleaned,t,sentiment_score,sentiment
sangat membantu 🙏 lanjutkan....!!!,playstore,sangat membantu  lanjutkan,"['sangat', 'membantu', 'lanjutkan']",-8,negative
rata rata aplikasi pemerintah itu jelek jelek.memang begini kualitas pemerintahan kita.,playstore,rata rata aplikasi pemerintah itu jelek jelekmemang begini kualitas pemerintahan kita,"['rata', 'rata', 'aplikasi', 'pemerintah', 'itu', 'jelek', 'jelekmemang', 'begini', 'kualitas', 'pemerintahan', 'kita']",-33,negative
aplikasi kurang berguna gak bisa buat npwp secara online mana sering macet jaringan bagus tapi setiap buka aplikasi ini gagal teris dan eror tolong cepat di perbaiki saya mau kerja terhalang sama aplikasi ini,playstore,aplikasi kurang berguna gak bisa buat npwp secara online mana sering macet jaringan bagus tapi setiap buka aplikasi ini gagal teris dan eror tolong cepat di perbaiki saya mau kerja terhalang sama aplikasi ini,"['aplikasi', 'kurang', 'berguna', 'tidak', 'bisa', 'buat', 'npwp', 'secara', 'online', 'mana', 'sering', 'macet', 'jaringan', 'bagus', 'tapi', 'setiap', 'buka', 'aplikasi', 'ini', 'gagal', 'teris', 'dan', 'eror', 'tolong', 'cepat', 'di', 'perbaiki', 'saya', 'mau', 'kerja', 'terhalang', 'sama', 'aplikasi', 'ini']",-147,negative
apk jelek,playstore,apk jelek,"['apk', 'jelek']",-18,negative
"Daftarnya Sulit, padahal sudah mengisi Data dengan Benar",playstore,daftarnya sulit padahal sudah mengisi data dengan benar,"['daftarnya', 'sulit', 'padahal', 'sudah', 'mengisi', 'data', 'dengan', 'benar']",-37,negative
bagus,playstore,bagus,['bagus'],-4,negative
"tolong jangan dipersulit bagi yg lupa efin, cukup kirim email aktivasi ulang, gak perlu repot2 ke kpp terdekat, buang2 waktu.",playstore,tolong jangan dipersulit bagi yg lupa efin cukup kirim email aktivasi ulang gak perlu repot ke kpp terdekat buang waktu,"['tolong', 'jangan', 'dipersulit', 'bagi', 'yang', 'lupa', 'efin', 'cukup', 'kirim', 'email', 'aktivasi', 'ulang', 'tidak', 'perlu', 'repot-repot', 'ke', 'kpp', 'terdekat', 'buang2', 'waktu']",-30,negative
aplikasi tidak bisa digunakan,playstore,aplikasi tidak bisa digunakan,"['aplikasi', 'tidak', 'bisa', 'digunakan']",-27,negative
Kadang orng tidak paham memakai apk ini,playstore,kadang orng tidak paham memakai apk ini,"['kadang', 'orang', 'tidak', 'paham', 'memakai', 'apk', 'ini']",-33,negative
"aplikasinya sudah bagus, namun untuk mendapatkan efin, nomer NPWP nya masih 15 digit, padahal di tahun ini yang baru buat NPWP, nomernya ada 16 digit, jadi tidak bisa di masukkan nomor nya",playstore,aplikasinya sudah bagus namun untuk mendapatkan efin nomer npwp nya masih  digit padahal di tahun ini yang baru buat npwp nomernya ada  digit jadi tidak bisa di masukkan nomor nya,"['aplikasinya', 'sudah', 'bagus', 'namun', 'untuk', 'mendapatkan', 'efin', 'nomer', 'npwp', 'ya', 'masih', '15', 'digit', 'padahal', 'di', 'tahun', 'ini', 'yang', 'baru', 'buat', 'npwp', 'nomernya', 'ada', '16', 'digit', 'jadi', 'tidak', 'bisa', 'di', 'masukkan', 'nomor', 'ya']",-121,negative
