content,source,cleaned,t,sentiment_score,sentiment,tokens,joined,topik
aplikasi tidak bisa digunakan,playstore,aplikasi tidak bisa digunakan,"['aplikasi', 'tidak', 'bisa', 'digunakan']",-27,negative,['aplikasi'],aplikasi,Topik 1 - Error/Aplikasi
"aplikasinya sudah bagus, namun untuk mendapatkan efin, nomer NPWP nya masih 15 digit, padahal di tahun ini yang baru buat NPWP, nomernya ada 16 digit, jadi tidak bisa di masukkan nomor nya",playstore,aplikasinya sudah bagus namun untuk mendapatkan efin nomer npwp nya masih  digit padahal di tahun ini yang baru buat npwp nomernya ada  digit jadi tidak bisa di masukkan nomor nya,"['aplikasinya', 'sudah', 'bagus', 'namun', 'untuk', 'mendapatkan', 'efin', 'nomer', 'npwp', 'ya', 'masih', '15', 'digit', 'padahal', 'di', 'tahun', 'ini', 'yang', 'baru', 'buat', 'npwp', 'nomernya', 'ada', '16', 'digit', 'jadi', 'tidak', 'bisa', 'di', 'masukkan', 'nomor', 'ya']",-121,negative,"['aplikasinya', 'bagus', 'efin', 'nomer', 'npwp', 'nya', 'digit', 'npwp', 'nomernya', 'digit', 'masukkan', 'nomor', 'nya']",aplikasinya bagus efin nomer npwp nya digit npwp nomernya digit masukkan nomor nya,Topik 1 - Error/Aplikasi
ko login error knpa ya?,playstore,ko login error knpa ya,"['kok', 'login', 'error', 'kenapa', 'ya']",-36,negative,"['login', 'error', 'knpa']",login error knpa,Topik 1 - Error/Aplikasi
"jangan nerima duit setoran pajak aja, perbaiki system web/aplikasinya. jaman digital masih lemot aja. verifikasi data sampai numpuk code otp. alhasil tidak bisa di masukkan.",playstore,jangan nerima duit setoran pajak aja perbaiki system webaplikasinya jaman digital masih lemot aja verifikasi data sampai numpuk code otp alhasil tidak bisa di masukkan,"['jangan', 'menerima', 'duit', 'setoran', 'pajak', 'saja', 'perbaiki', 'system', 'webaplikasinya', 'jaman', 'digital', 'masih', 'lemot', 'saja', 'verifikasi', 'data', 'sampai', 'numpuk', 'code', 'otp', 'alhasil', 'tidak', 'bisa', 'di', 'masukkan']",-77,negative,"['nerima', 'duit', 'setoran', 'pajak', 'aja', 'perbaiki', 'system', 'webaplikasinya', 'jaman', 'digital', 'lemot', 'aja', 'verifikasi', 'data', 'numpuk', 'code', 'otp', 'alhasil', 'masukkan']",nerima duit setoran pajak aja perbaiki system webaplikasinya jaman digital lemot aja verifikasi data numpuk code otp alhasil masukkan,Topik 1 - Error/Aplikasi
lemot banget. gajelas. verifikasi lama banget nunggunya,playstore,lemot banget gajelas verifikasi lama banget nunggunya,"['lemot', 'banget', 'tidak jelas', 'verifikasi', 'lama', 'banget', 'nunggunya']",-36,negative,"['lemot', 'banget', 'gajelas', 'verifikasi', 'banget', 'nunggunya']",lemot banget gajelas verifikasi banget nunggunya,Topik 1 - Error/Aplikasi
"Daftarnya Lama Banget Ya?, Masa Sekelas Pemerintah Daftar Aja Lemot? Cuma Muter"" Gjls. Padahal Juga Sudah Bener isi Identitas nya",playstore,daftarnya lama banget ya masa sekelas pemerintah daftar aja lemot cuma muter gjls padahal juga sudah bener isi identitas nya,"['daftarnya', 'lama', 'banget', 'ya', 'masa', 'sekelas', 'pemerintah', 'daftar', 'saja', 'lemot', 'cuma', 'muter', 'gjls', 'padahal', 'juga', 'sudah', 'benar', 'isi', 'identitas', 'ya']",-59,negative,"['daftarnya', 'banget', 'sekelas', 'pemerintah', 'daftar', 'aja', 'lemot', 'muter', 'gjls', 'bener', 'isi', 'identitas', 'nya']",daftarnya banget sekelas pemerintah daftar aja lemot muter gjls bener isi identitas nya,Topik 1 - Error/Aplikasi
"Saya sangat kecewa sekarang, saya mau padankan NPWP dengan NIK lewat online, tetapi sekarang sudah tidak bisa,",playstore,saya sangat kecewa sekarang saya mau padankan npwp dengan nik lewat online tetapi sekarang sudah tidak bisa,"['saya', 'sangat', 'kecewa', 'sekarang', 'saya', 'mau', 'padankan', 'npwp', 'dengan', 'nik', 'lewat', 'online', 'tetapi', 'sekarang', 'sudah', 'tidak', 'bisa']",-71,negative,"['kecewa', 'padankan', 'npwp', 'nik', 'online']",kecewa padankan npwp nik online,Topik 1 - Error/Aplikasi
"Mau log in tapi yang muncuk error terus, kalau log in di web bisa.",playstore,mau log in tapi yang muncuk error terus kalau log in di web bisa,"['mau', 'log', 'ini', 'tapi', 'yang', 'muncuk', 'error', 'terus', 'kalau', 'log', 'ini', 'di', 'web', 'bisa']",-70,negative,"['log', 'muncuk', 'error', 'log', 'web']",log muncuk error log web,Topik 1 - Error/Aplikasi
susah apk nya error mulu,playstore,susah apk nya error mulu,"['susah', 'apk', 'ya', 'error', 'mulu']",-45,negative,"['susah', 'apk', 'nya', 'error', 'mulu']",susah apk nya error mulu,Topik 1 - Error/Aplikasi
aplikasi cacat kenapasih kebanyakan aplikasi publik punya pemerintah banyak error nya mau daftar npwp aja ga bisa bisa,playstore,aplikasi cacat kenapasih kebanyakan aplikasi publik punya pemerintah banyak error nya mau daftar npwp aja ga bisa bisa,"['aplikasi', 'cacat', 'kenapasih', 'kebanyakan', 'aplikasi', 'publik', 'punya', 'pemerintah', 'banyak', 'error', 'ya', 'mau', 'daftar', 'npwp', 'saja', 'tidak', 'bisa', 'bisa']",-91,negative,"['aplikasi', 'cacat', 'kenapasih', 'kebanyakan', 'aplikasi', 'publik', 'pemerintah', 'error', 'nya', 'daftar', 'npwp', 'aja']",aplikasi cacat kenapasih kebanyakan aplikasi publik pemerintah error nya daftar npwp aja,Topik 1 - Error/Aplikasi
"error terus saat login, berkali-kali notif sesi habis.",playstore,error terus saat login berkalikali notif sesi habis,"['error', 'terus', 'saat', 'login', 'berkalikali', 'notif', 'sesi', 'habis']",-21,negative,"['error', 'login', 'berkalikali', 'notif', 'sesi', 'habis']",error login berkalikali notif sesi habis,Topik 1 - Error/Aplikasi
"emang apa apa yg dibuat pemerintah semua sampah, sudaah berhasil registrasi. giliran cari dokumen kartu palah ga ada",playstore,emang apa apa yg dibuat pemerintah semua sampah sudaah berhasil registrasi giliran cari dokumen kartu palah ga ada,"['memang', 'apa', 'apa', 'yang', 'dibuat', 'pemerintah', 'semua', 'sampah', 'sudaah', 'berhasil', 'registrasi', 'giliran', 'cari', 'dokumen', 'kartu', 'palah', 'tidak', 'ada']",-34,negative,"['emang', 'pemerintah', 'sampah', 'sudaah', 'berhasil', 'registrasi', 'giliran', 'cari', 'dokumen', 'kartu', 'palah']",emang pemerintah sampah sudaah berhasil registrasi giliran cari dokumen kartu palah,Topik 1 - Error/Aplikasi
"Jelek bgt, mau log in aja error bgt. jelek nungguin kode otp SMS 1 jam ga bisa2",playstore,jelek bgt mau log in aja error bgt jelek nungguin kode otp sms  jam ga bisa,"['jelek', 'banget', 'mau', 'log', 'ini', 'saja', 'error', 'banget', 'jelek', 'menunggu', 'kode', 'otp', 'sms', '1', 'jam', 'tidak', 'bisa2']",-73,negative,"['jelek', 'bgt', 'log', 'aja', 'error', 'bgt', 'jelek', 'nungguin', 'kode', 'otp', 'sms', 'jam']",jelek bgt log aja error bgt jelek nungguin kode otp sms jam,Topik 1 - Error/Aplikasi
"sangat buruk, aplikasi nya error terus saat login",playstore,sangat buruk aplikasi nya error terus saat login,"['sangat', 'buruk', 'aplikasi', 'ya', 'error', 'terus', 'saat', 'login']",-46,negative,"['buruk', 'aplikasi', 'nya', 'error', 'login']",buruk aplikasi nya error login,Topik 1 - Error/Aplikasi
gajelas error mulu,playstore,gajelas error mulu,"['tidak jelas', 'error', 'mulu']",-27,negative,"['gajelas', 'error', 'mulu']",gajelas error mulu,Topik 1 - Error/Aplikasi
"aplikasi banyak bug lemot kebanyakan update, kemana aja uang pajak buat aplikasi bagus aja gak bisa kebanyakan di korupsi kayaknya",playstore,aplikasi banyak bug lemot kebanyakan update kemana aja uang pajak buat aplikasi bagus aja gak bisa kebanyakan di korupsi kayaknya,"['aplikasi', 'banyak', 'bug', 'lemot', 'kebanyakan', 'update', 'kemana', 'saja', 'uang', 'pajak', 'buat', 'aplikasi', 'bagus', 'saja', 'tidak', 'bisa', 'kebanyakan', 'di', 'korupsi', 'kayaknya']",-98,negative,"['aplikasi', 'bug', 'lemot', 'kebanyakan', 'update', 'kemana', 'aja', 'uang', 'pajak', 'aplikasi', 'bagus', 'aja', 'gak', 'kebanyakan', 'korupsi', 'kayaknya']",aplikasi bug lemot kebanyakan update kemana aja uang pajak aplikasi bagus aja gak kebanyakan korupsi kayaknya,Topik 1 - Error/Aplikasi
"pelayanan online kurang memuaskan, aplikasi sering error dan tidak bisa digunakan.banyak kolom diisi sesuai data tp tidak bisa terdeteksi. mohon diperbaiki lg untuk pelayanan online.",playstore,pelayanan online kurang memuaskan aplikasi sering error dan tidak bisa digunakanbanyak kolom diisi sesuai data tp tidak bisa terdeteksi mohon diperbaiki lg untuk pelayanan online,"['pelayanan', 'online', 'kurang', 'memuaskan', 'aplikasi', 'sering', 'error', 'dan', 'tidak', 'bisa', 'digunakanbanyak', 'kolom', 'diisi', 'sesuai', 'data', 'tapi', 'tidak', 'bisa', 'terdeteksi', 'mohon', 'diperbaiki', 'lagi', 'untuk', 'pelayanan', 'online']",-64,negative,"['pelayanan', 'online', 'memuaskan', 'aplikasi', 'error', 'digunakanbanyak', 'kolom', 'diisi', 'sesuai', 'data', 'terdeteksi', 'mohon', 'diperbaiki', 'pelayanan', 'online']",pelayanan online memuaskan aplikasi error digunakanbanyak kolom diisi sesuai data terdeteksi mohon diperbaiki pelayanan online,Topik 1 - Error/Aplikasi
