content,source,cleaned,t,sentiment_score,sentiment,tokens,joined,topik
aplikasi kurang berguna gak bisa buat npwp secara online mana sering macet jaringan bagus tapi setiap buka aplikasi ini gagal teris dan eror tolong cepat di perbaiki saya mau kerja terhalang sama aplikasi ini,playstore,aplikasi kurang berguna gak bisa buat npwp secara online mana sering macet jaringan bagus tapi setiap buka aplikasi ini gagal teris dan eror tolong cepat di perbaiki saya mau kerja terhalang sama aplikasi ini,"['aplikasi', 'kurang', 'berguna', 'tidak', 'bisa', 'buat', 'npwp', 'secara', 'online', 'mana', 'sering', 'macet', 'jaringan', 'bagus', 'tapi', 'setiap', 'buka', 'aplikasi', 'ini', 'gagal', 'teris', 'dan', 'eror', 'tolong', 'cepat', 'di', 'perbaiki', 'saya', 'mau', 'kerja', 'terhalang', 'sama', 'aplikasi', 'ini']",-147,negative,"['aplikasi', 'berguna', 'gak', 'npwp', 'online', 'macet', 'jaringan', 'bagus', 'buka', 'aplikasi', 'gagal', 'teris', 'eror', 'tolong', 'cepat', 'perbaiki', 'kerja', 'terhalang', 'aplikasi']",aplikasi berguna gak npwp online macet jaringan bagus buka aplikasi gagal teris eror tolong cepat perbaiki kerja terhalang aplikasi,Topik 2 - Login/NPWP/Daftar
"Daftarnya Sulit, padahal sudah mengisi Data dengan Benar",playstore,daftarnya sulit padahal sudah mengisi data dengan benar,"['daftarnya', 'sulit', 'padahal', 'sudah', 'mengisi', 'data', 'dengan', 'benar']",-37,negative,"['daftarnya', 'sulit', 'mengisi', 'data']",daftarnya sulit mengisi data,Topik 2 - Login/NPWP/Daftar
"tolong jangan dipersulit bagi yg lupa efin, cukup kirim email aktivasi ulang, gak perlu repot2 ke kpp terdekat, buang2 waktu.",playstore,tolong jangan dipersulit bagi yg lupa efin cukup kirim email aktivasi ulang gak perlu repot ke kpp terdekat buang waktu,"['tolong', 'jangan', 'dipersulit', 'bagi', 'yang', 'lupa', 'efin', 'cukup', 'kirim', 'email', 'aktivasi', 'ulang', 'tidak', 'perlu', 'repot-repot', 'ke', 'kpp', 'terdekat', 'buang2', 'waktu']",-30,negative,"['tolong', 'dipersulit', 'lupa', 'efin', 'kirim', 'email', 'aktivasi', 'ulang', 'gak', 'repot', 'kpp', 'terdekat', 'buang']",tolong dipersulit lupa efin kirim email aktivasi ulang gak repot kpp terdekat buang,Topik 2 - Login/NPWP/Daftar
"astaga untuk pengajuan lupa EFIN aja lama kali, masa terus terusan eror, tadi udah 10% gagal lagi",playstore,astaga untuk pengajuan lupa efin aja lama kali masa terus terusan eror tadi udah  gagal lagi,"['astaga', 'untuk', 'pengajuan', 'lupa', 'efin', 'saja', 'lama', 'kali', 'masa', 'terus', 'terusan', 'eror', 'tadi', 'sudah', '10', 'gagal', 'lagi']",-59,negative,"['astaga', 'pengajuan', 'lupa', 'efin', 'aja', 'kali', 'terusan', 'eror', 'udah', 'gagal']",astaga pengajuan lupa efin aja kali terusan eror udah gagal,Topik 2 - Login/NPWP/Daftar
"sa kesal sekali, buat NPWP jadi susah semenjak jadi cortax. verif 2 hari 2 malam. bodoh sekali",playstore,sa kesal sekali buat npwp jadi susah semenjak jadi cortax verif  hari  malam bodoh sekali,"['sa', 'kesal', 'sekali', 'buat', 'npwp', 'jadi', 'susah', 'semenjak', 'jadi', 'cortax', 'verif', '2', 'hari', '2', 'malam', 'bodoh', 'sekali']",-38,negative,"['kesal', 'npwp', 'susah', 'semenjak', 'cortax', 'verif', 'malam', 'bodoh']",kesal npwp susah semenjak cortax verif malam bodoh,Topik 2 - Login/NPWP/Daftar
masuk ke dalam app saja nggak bisa. hanya halaman depannya saja yang terbuka,playstore,masuk ke dalam app saja nggak bisa hanya halaman depannya saja yang terbuka,"['masuk', 'ke', 'dalam', 'app', 'saja', 'tidak', 'bisa', 'hanya', 'halaman', 'depannya', 'saja', 'yang', 'terbuka']",-35,negative,"['masuk', 'app', 'nggak', 'halaman', 'depannya', 'terbuka']",masuk app nggak halaman depannya terbuka,Topik 2 - Login/NPWP/Daftar
"aplikasi lambat minta kode verifikasi ga masuk"" ke email. ga jelas",playstore,aplikasi lambat minta kode verifikasi ga masuk ke email ga jelas,"['aplikasi', 'lambat', 'meminta', 'kode', 'verifikasi', 'tidak', 'masuk', 'ke', 'email', 'tidak', 'jelas']",-35,negative,"['aplikasi', 'lambat', 'kode', 'verifikasi', 'masuk', 'email']",aplikasi lambat kode verifikasi masuk email,Topik 2 - Login/NPWP/Daftar
"Fix dong, kaga bisa login terus udah sebulan an, saya rating tinggi biar kebaca ama si admin ini",playstore,fix dong kaga bisa login terus udah sebulan an saya rating tinggi biar kebaca ama si admin ini,"['fix', 'dong', 'kagak', 'bisa', 'login', 'terus', 'sudah', 'sebulan', 'an', 'saya', 'rating', 'tinggi', 'biar', 'kebaca', 'sama', 'sih', 'admin', 'ini']",-57,negative,"['fix', 'kaga', 'login', 'udah', 'sebulan', 'rating', 'biar', 'kebaca', 'ama', 'admin']",fix kaga login udah sebulan rating biar kebaca ama admin,Topik 2 - Login/NPWP/Daftar
"aplikasi tergak niatt si ini ,baru aja mau mau daftar tp ngga bisa "" ,boro"" login apk.nya klik daftar disininya aja ngga ada,",playstore,aplikasi tergak niatt si ini baru aja mau mau daftar tp ngga bisa  boro login apknya klik daftar disininya aja ngga ada,"['aplikasi', 'tergak', 'niatt', 'sih', 'ini', 'baru', 'saja', 'mau', 'mau', 'daftar', 'tapi', 'tidak', 'bisa', 'boro', 'login', 'apknya', 'klik', 'daftar', 'disininya', 'saja', 'tidak', 'ada']",-73,negative,"['aplikasi', 'tergak', 'niatt', 'aja', 'daftar', 'ngga', 'boro', 'login', 'apknya', 'klik', 'daftar', 'disininya', 'aja', 'ngga']",aplikasi tergak niatt aja daftar ngga boro login apknya klik daftar disininya aja ngga,Topik 2 - Login/NPWP/Daftar
tolong di perbaiki aplikasi nya soalnya no npwp saya 16 digit tapi yg di sediakan di kolom npwp hanya 15 digit 🙏🙏,playstore,tolong di perbaiki aplikasi nya soalnya no npwp saya  digit tapi yg di sediakan di kolom npwp hanya  digit,"['tolong', 'di', 'perbaiki', 'aplikasi', 'ya', 'soalnya', 'no', 'npwp', 'saya', '16', 'digit', 'tapi', 'yang', 'di', 'sediakan', 'di', 'kolom', 'npwp', 'hanya', '15', 'digit']",-95,negative,"['tolong', 'perbaiki', 'aplikasi', 'nya', 'npwp', 'digit', 'sediakan', 'kolom', 'npwp', 'digit']",tolong perbaiki aplikasi nya npwp digit sediakan kolom npwp digit,Topik 2 - Login/NPWP/Daftar
