content,source,cleaned,t,sentiment_score,sentiment,tokens,joined,topik
gajelas appnya,playstore,gajelas appnya,"['tidak jelas', 'appnya']",-9,negative,"['gajelas', 'appnya']",gajelas appnya,Topik 3 - Lapor Pajak/SPT
aneh kita yang bayar pajak kita yang laporan. dan mau laporan pun sulit dapat datanya.,playstore,aneh kita yang bayar pajak kita yang laporan dan mau laporan pun sulit dapat datanya,"['aneh', 'kita', 'yang', 'bayar', 'pajak', 'kita', 'yang', 'laporan', 'dan', 'mau', 'laporan', 'pun', 'sulit', 'dapat', 'datanya']",-51,negative,"['aneh', 'bayar', 'pajak', 'laporan', 'laporan', 'sulit', 'datanya']",aneh bayar pajak laporan laporan sulit datanya,Topik 3 - Lapor Pajak/SPT
"kocak ini apk dungu, ngapain udah ada apk ini giliran mau lapor spt tahunan malah disuruh pake web trs gunanya apa ini aplikasinya? Emang susah negri konoha ini",playstore,kocak ini apk dungu ngapain udah ada apk ini giliran mau lapor spt tahunan malah disuruh pake web trs gunanya apa ini aplikasinya emang susah negri konoha ini,"['kocak', 'ini', 'apk', 'dungu', 'mengapai', 'sudah', 'ada', 'apk', 'ini', 'giliran', 'mau', 'lapor', 'seperti', 'tahunan', 'malah', 'disuruh', 'pakai', 'web', 'terus', 'gunanya', 'apa', 'ini', 'aplikasinya', 'memang', 'susah', 'negeri', 'konoha', 'ini']",-106,negative,"['kocak', 'apk', 'dungu', 'ngapain', 'udah', 'apk', 'giliran', 'lapor', 'spt', 'tahunan', 'disuruh', 'pake', 'web', 'trs', 'gunanya', 'aplikasinya', 'emang', 'susah', 'negri', 'konoha']",kocak apk dungu ngapain udah apk giliran lapor spt tahunan disuruh pake web trs gunanya aplikasinya emang susah negri konoha,Topik 3 - Lapor Pajak/SPT
"sudah bayar pajak, mesti lapor pake cara ribet",playstore,sudah bayar pajak mesti lapor pake cara ribet,"['sudah', 'bayar', 'pajak', 'mesti', 'lapor', 'pakai', 'cara', 'ribet']",-24,negative,"['bayar', 'pajak', 'mesti', 'lapor', 'pake', 'ribet']",bayar pajak mesti lapor pake ribet,Topik 3 - Lapor Pajak/SPT
sebagai warga negara yang baik kita harus lapor pajak tahunan ...😊,playstore,sebagai warga negara yang baik kita harus lapor pajak tahunan,"['sebagai', 'warga', 'negara', 'yang', 'baik', 'kita', 'harus', 'lapor', 'pajak', 'tahunan']",-14,negative,"['warga', 'negara', 'lapor', 'pajak', 'tahunan']",warga negara lapor pajak tahunan,Topik 3 - Lapor Pajak/SPT
gak enak buat lapor baik pakai versi web,playstore,gak enak buat lapor baik pakai versi web,"['tidak', 'enak', 'buat', 'lapor', 'baik', 'pakai', 'versi', 'web']",-4,negative,"['gak', 'enak', 'lapor', 'pakai', 'versi', 'web']",gak enak lapor pakai versi web,Topik 3 - Lapor Pajak/SPT
sangat membantu dlm pelaporan pajak,playstore,sangat membantu dlm pelaporan pajak,"['sangat', 'membantu', 'dalam', 'pelaporan', 'pajak']",-15,negative,"['membantu', 'dlm', 'pelaporan', 'pajak']",membantu dlm pelaporan pajak,Topik 3 - Lapor Pajak/SPT
lapor SPT bisa di sini ga?,playstore,lapor spt bisa di sini ga,"['lapor', 'seperti', 'bisa', 'di', 'sini', 'tidak']",-19,negative,"['lapor', 'spt']",lapor spt,Topik 3 - Lapor Pajak/SPT
"bingung, fiturnya kog gk lengkap yaa, jadi telat lapor pajak",playstore,bingung fiturnya kog gk lengkap yaa jadi telat lapor pajak,"['bingung', 'fiturnya', 'kok', 'tidak', 'lengkap', 'ya', 'jadi', 'telat', 'lapor', 'pajak']",-55,negative,"['bingung', 'fiturnya', 'kog', 'lengkap', 'yaa', 'telat', 'lapor', 'pajak']",bingung fiturnya kog lengkap yaa telat lapor pajak,Topik 3 - Lapor Pajak/SPT
"aplikasinya belum siap digunakan, mau buat spt tahunan saja tidak ada menunya, mau cek laporan spt sebelumnya juga tidak ada, proses aktivasi sangat ribet, apa pembuatan aplikasi ini juga dikorupsi?",playstore,aplikasinya belum siap digunakan mau buat spt tahunan saja tidak ada menunya mau cek laporan spt sebelumnya juga tidak ada proses aktivasi sangat ribet apa pembuatan aplikasi ini juga dikorupsi,"['aplikasinya', 'belum', 'siap', 'digunakan', 'mau', 'buat', 'seperti', 'tahunan', 'saja', 'tidak', 'ada', 'menunya', 'mau', 'cek', 'laporan', 'seperti', 'sebelumnya', 'juga', 'tidak', 'ada', 'proses', 'aktivasi', 'sangat', 'ribet', 'apa', 'pembuatan', 'aplikasi', 'ini', 'juga', 'dikorupsi']",-79,negative,"['aplikasinya', 'spt', 'tahunan', 'menunya', 'cek', 'laporan', 'spt', 'proses', 'aktivasi', 'ribet', 'pembuatan', 'aplikasi', 'dikorupsi']",aplikasinya spt tahunan menunya cek laporan spt proses aktivasi ribet pembuatan aplikasi dikorupsi,Topik 3 - Lapor Pajak/SPT
