content,source,cleaned,t,sentiment_score,sentiment,tokens,joined,topik
Menyusahkan Mau cari pengaturan saja susah mau ganti alamat email saja susah,playstore,menyusahkan mau cari pengaturan saja susah mau ganti alamat email saja susah,"['menyusahkan', 'mau', 'cari', 'pengaturan', 'saja', 'susah', 'mau', 'ganti', 'alamat', 'email', 'saja', 'susah']",-32,negative,"['menyusahkan', 'cari', 'pengaturan', 'susah', 'ganti', 'alamat', 'email', 'susah']",menyusahkan cari pengaturan susah ganti alamat email susah,Topik 4 - OTP/Verifikasi Email
Otp lama,playstore,otp lama,"['otp', 'lama']",-4,negative,['otp'],otp,Topik 4 - OTP/Verifikasi Email
Jelek darimananya? Perasaan bagus² aja dan pengiriman kodenya juga cepat.,playstore,jelek darimananya perasaan bagus aja dan pengiriman kodenya juga cepat,"['jelek', 'darimananya', 'perasaan', 'bagus', 'saja', 'dan', 'pengiriman', 'kodenya', 'juga', 'cepat']",-15,negative,"['jelek', 'darimananya', 'perasaan', 'bagus', 'aja', 'pengiriman', 'kodenya', 'cepat']",jelek darimananya perasaan bagus aja pengiriman kodenya cepat,Topik 4 - OTP/Verifikasi Email
Verivikasi email gak di kirim2,playstore,verivikasi email gak di kirim,"['verivikasi', 'email', 'tidak', 'di', 'kirim2']",-9,negative,"['verivikasi', 'email', 'gak', 'kirim']",verivikasi email gak kirim,Topik 4 - OTP/Verifikasi Email
"abis install ini tiba-tiba data email dan nomor hp berubah, hati-hati gak beres aplikasi ini.",playstore,abis install ini tibatiba data email dan nomor hp berubah hatihati gak beres aplikasi ini,"['habis', 'install', 'ini', 'tibatiba', 'data', 'email', 'dan', 'nomor', 'hp', 'berubah', 'hatihati', 'tidak', 'beres', 'aplikasi', 'ini']",-33,negative,"['abis', 'install', 'tibatiba', 'data', 'email', 'nomor', 'berubah', 'hatihati', 'gak', 'beres', 'aplikasi']",abis install tibatiba data email nomor berubah hatihati gak beres aplikasi,Topik 4 - OTP/Verifikasi Email
"Aplikasinya bagus banget, chat live susah banget buat nyambung ke agen. Lewat web browser djp online pun sama, sekarang kok gabisa ubah email lama? Tidak tersedia juga penghapusan akun djp online",playstore,aplikasinya bagus banget chat live susah banget buat nyambung ke agen lewat web browser djp online pun sama sekarang kok gabisa ubah email lama tidak tersedia juga penghapusan akun djp online,"['aplikasinya', 'bagus', 'banget', 'chat', 'live', 'susah', 'banget', 'buat', 'menyambung', 'ke', 'agen', 'lewat', 'web', 'browser', 'djp', 'online', 'pun', 'sama', 'sekarang', 'kok', 'tidak bisa', 'ubah', 'email', 'lama', 'tidak', 'tersedia', 'juga', 'penghapusan', 'akun', 'djp', 'online']",-65,negative,"['aplikasinya', 'bagus', 'banget', 'chat', 'live', 'susah', 'banget', 'nyambung', 'agen', 'web', 'browser', 'djp', 'online', 'gabisa', 'ubah', 'email', 'tersedia', 'penghapusan', 'akun', 'djp', 'online']",aplikasinya bagus banget chat live susah banget nyambung agen web browser djp online gabisa ubah email tersedia penghapusan akun djp online,Topik 4 - OTP/Verifikasi Email
"Aplikasi jelek, bikin akun ribet verivikasi 3 jam ga dapat otp apa apaan",playstore,aplikasi jelek bikin akun ribet verivikasi  jam ga dapat otp apa apaan,"['aplikasi', 'jelek', 'bikin', 'akun', 'ribet', 'verivikasi', '3', 'jam', 'tidak', 'dapat', 'otp', 'apa', 'apaan']",-54,negative,"['aplikasi', 'jelek', 'bikin', 'akun', 'ribet', 'verivikasi', 'jam', 'otp']",aplikasi jelek bikin akun ribet verivikasi jam otp,Topik 4 - OTP/Verifikasi Email
"Kocak kirim otp aja ampe sejam ,,apk gak jelas perbaiki lah,apk Negara kan",playstore,kocak kirim otp aja ampe sejam apk gak jelas perbaiki lahapk negara kan,"['kocak', 'kirim', 'otp', 'saja', 'sampai', 'sejam', 'apk', 'tidak', 'jelas', 'perbaiki', 'lahapk', 'negara', 'kan']",-46,negative,"['kocak', 'kirim', 'otp', 'aja', 'ampe', 'sejam', 'apk', 'gak', 'perbaiki', 'lahapk', 'negara']",kocak kirim otp aja ampe sejam apk gak perbaiki lahapk negara,Topik 4 - OTP/Verifikasi Email
"Aplikasi engga jelas, kirim OTP aja harus lebih dari 4Jam",playstore,aplikasi engga jelas kirim otp aja harus lebih dari jam,"['aplikasi', 'tidak', 'jelas', 'kirim', 'otp', 'saja', 'harus', 'lebih', 'dari', '4jam']",-29,negative,"['aplikasi', 'engga', 'kirim', 'otp', 'aja', 'jam']",aplikasi engga kirim otp aja jam,Topik 4 - OTP/Verifikasi Email
"Kode token nya kelamaan di kirem ke email nya, 😏",playstore,kode token nya kelamaan di kirem ke email nya,"['kode', 'token', 'ya', 'kelamaan', 'di', 'kirem', 'ke', 'email', 'ya']",-30,negative,"['kode', 'token', 'nya', 'kirem', 'email', 'nya']",kode token nya kirem email nya,Topik 4 - OTP/Verifikasi Email
