content,source,cleaned,t,sentiment_score,sentiment,tokens,joined,topik
orang mau bayar pajak aja d persulit effien kenapa ga bisa online gmna mau maju ..bayar pajak aja d persulit,playstore,orang mau bayar pajak aja d persulit effien kenapa ga bisa online gmna mau maju bayar pajak aja d persulit,"['orang', 'mau', 'bayar', 'pajak', 'saja', 'di', 'persulit', 'effien', 'kenapa', 'tidak', 'bisa', 'online', 'bagaimana', 'mau', 'maju', 'bayar', 'pajak', 'saja', 'di', 'persulit']",-104,negative,"['orang', 'bayar', 'pajak', 'aja', 'persulit', 'effien', 'online', 'gmna', 'maju', 'bayar', 'pajak', 'aja', 'persulit']",orang bayar pajak aja persulit effien online gmna maju bayar pajak aja persulit,Topik 5 - Pembayaran/Kantor Pajak
"Buat lansia agak kesulitan juga pengerjaannya, lebih baik datang ke kantor Pajak setempat",playstore,buat lansia agak kesulitan juga pengerjaannya lebih baik datang ke kantor pajak setempat,"['buat', 'lansia', 'agak', 'kesulitan', 'juga', 'pengerjaannya', 'lebih', 'baik', 'datang', 'ke', 'kantor', 'pajak', 'setempat']",-8,negative,"['lansia', 'kesulitan', 'pengerjaannya', 'kantor', 'pajak']",lansia kesulitan pengerjaannya kantor pajak,Topik 5 - Pembayaran/Kantor Pajak
"ribet, aktivasi akun dan epin aja bagi WP pribadi harus ke kantor dengan segala aturan dll etc. sepatu. sedangkan saya baru mau bekerja kembali setelah sekian tahun lamanya menganggur. seharusnya di apk DJP online ini sediakanlah layanan online untuk aktifasi epin dan akun tanpa harus ke kantor pajak terdekat bagi kaum karyawan. karena biasanya akan terganggu jam kerjanya.",playstore,ribet aktivasi akun dan epin aja bagi wp pribadi harus ke kantor dengan segala aturan dll etc sepatu sedangkan saya baru mau bekerja kembali setelah sekian tahun lamanya menganggur seharusnya di apk djp online ini sediakanlah layanan online untuk aktifasi epin dan akun tanpa harus ke kantor pajak terdekat bagi kaum karyawan karena biasanya akan terganggu jam kerjanya,"['ribet', 'aktivasi', 'akun', 'dan', 'epin', 'saja', 'bagi', 'wp', 'pribadi', 'harus', 'ke', 'kantor', 'dengan', 'segala', 'aturan', 'dll', 'etc', 'sepatu', 'sedangkan', 'saya', 'baru', 'mau', 'bekerja', 'kembali', 'setelah', 'sekian', 'tahun', 'lamanya', 'menganggur', 'seharusnya', 'di', 'apk', 'djp', 'online', 'ini', 'sediakanlah', 'layanan', 'online', 'untuk', 'aktifasi', 'epin', 'dan', 'akun', 'tanpa', 'harus', 'ke', 'kantor', 'pajak', 'terdekat', 'bagi', 'kaum', 'karyawan', 'karena', 'biasanya', 'akan', 'terganggu', 'jam', 'kerjanya']",-74,negative,"['ribet', 'aktivasi', 'akun', 'epin', 'aja', 'pribadi', 'kantor', 'aturan', 'dll', 'etc', 'sepatu', 'sekian', 'menganggur', 'apk', 'djp', 'online', 'sediakanlah', 'layanan', 'online', 'aktifasi', 'epin', 'akun', 'kantor', 'pajak', 'terdekat', 'kaum', 'karyawan', 'terganggu', 'jam', 'kerjanya']",ribet aktivasi akun epin aja pribadi kantor aturan dll etc sepatu sekian menganggur apk djp online sediakanlah layanan online aktifasi epin akun kantor pajak terdekat kaum karyawan terganggu jam kerjanya,Topik 5 - Pembayaran/Kantor Pajak
Aplikasi yang mempersulit pembayaran pajak,playstore,aplikasi yang mempersulit pembayaran pajak,"['aplikasi', 'yang', 'mempersulit', 'pembayaran', 'pajak']",-32,negative,"['aplikasi', 'mempersulit', 'pembayaran', 'pajak']",aplikasi mempersulit pembayaran pajak,Topik 5 - Pembayaran/Kantor Pajak
"apk yang lama sudah bagus, dan apk yang sekarang gak bisa di akses, buang"" anggaran negara saja",playstore,apk yang lama sudah bagus dan apk yang sekarang gak bisa di akses buang anggaran negara saja,"['apk', 'yang', 'lama', 'sudah', 'bagus', 'dan', 'apk', 'yang', 'sekarang', 'tidak', 'bisa', 'di', 'akses', 'buang', 'anggaran', 'negara', 'saja']",-76,negative,"['apk', 'bagus', 'apk', 'gak', 'akses', 'buang', 'anggaran', 'negara']",apk bagus apk gak akses buang anggaran negara,Topik 5 - Pembayaran/Kantor Pajak
"aplikasi buatan negara, gaada yang bener sistemnya WKWKWKWK",playstore,aplikasi buatan negara gaada yang bener sistemnya wkwkwkwk,"['aplikasi', 'buatan', 'negara', 'tidak ada', 'yang', 'benar', 'sistemnya', 'wkwkwkwk']",-20,negative,"['aplikasi', 'buatan', 'negara', 'gaada', 'bener', 'sistemnya', 'wkwkwkwk']",aplikasi buatan negara gaada bener sistemnya wkwkwkwk,Topik 5 - Pembayaran/Kantor Pajak
Sengaja di buat pusing dan sulit supaya kita habis tenaga tak ada waktu untuk berfikir lain intinya bayar,playstore,sengaja di buat pusing dan sulit supaya kita habis tenaga tak ada waktu untuk berfikir lain intinya bayar,"['sengaja', 'di', 'buat', 'pusing', 'dan', 'sulit', 'supaya', 'kita', 'habis', 'tenaga', 'tak', 'ada', 'waktu', 'untuk', 'berpikir', 'lain', 'intinya', 'bayar']",-36,negative,"['sengaja', 'pusing', 'sulit', 'habis', 'tenaga', 'berfikir', 'intinya', 'bayar']",sengaja pusing sulit habis tenaga berfikir intinya bayar,Topik 5 - Pembayaran/Kantor Pajak
cuman di indon mau bayar pajak dipersulit,playstore,cuman di indon mau bayar pajak dipersulit,"['cuman', 'di', 'indon', 'mau', 'bayar', 'pajak', 'dipersulit']",-31,negative,"['cuman', 'indon', 'bayar', 'pajak', 'dipersulit']",cuman indon bayar pajak dipersulit,Topik 5 - Pembayaran/Kantor Pajak
"kenapa gak ada fitur untuk ubah nomor handphone?, masa untuk sekedar ubah nomor handphone harus ke kantor pajak.",playstore,kenapa gak ada fitur untuk ubah nomor handphone masa untuk sekedar ubah nomor handphone harus ke kantor pajak,"['kenapa', 'tidak', 'ada', 'fitur', 'untuk', 'ubah', 'nomor', 'handphone', 'masa', 'untuk', 'sekedar', 'ubah', 'nomor', 'handphone', 'harus', 'ke', 'kantor', 'pajak']",-44,negative,"['gak', 'fitur', 'ubah', 'nomor', 'handphone', 'sekedar', 'ubah', 'nomor', 'handphone', 'kantor', 'pajak']",gak fitur ubah nomor handphone sekedar ubah nomor handphone kantor pajak,Topik 5 - Pembayaran/Kantor Pajak
"ribet,aplikasi gagal Mulu,,segitu mau bayar,mau bayar aja di bikin ribet",playstore,ribetaplikasi gagal mulusegitu mau bayarmau bayar aja di bikin ribet,"['ribetaplikasi', 'gagal', 'mulusegitu', 'mau', 'bayarmau', 'bayar', 'saja', 'di', 'bikin', 'ribet']",-43,negative,"['ribetaplikasi', 'gagal', 'mulusegitu', 'bayarmau', 'bayar', 'aja', 'bikin', 'ribet']",ribetaplikasi gagal mulusegitu bayarmau bayar aja bikin ribet,Topik 5 - Pembayaran/Kantor Pajak
apalah ujungnya tetep disuruh kekantor pajak,playstore,apalah ujungnya tetep disuruh kekantor pajak,"['apalah', 'ujungnya', 'tetap', 'disuruh', 'kekantor', 'pajak']",-10,negative,"['apalah', 'ujungnya', 'tetep', 'disuruh', 'kekantor', 'pajak']",apalah ujungnya tetep disuruh kekantor pajak,Topik 5 - Pembayaran/Kantor Pajak
kayak gini bayar pajak rutin pelayanannya ga becuss gak becus bangdt kerja,playstore,kayak gini bayar pajak rutin pelayanannya ga becuss gak becus bangdt kerja,"['kayak', 'begini', 'bayar', 'pajak', 'rutin', 'pelayanannya', 'tidak', 'becuss', 'tidak', 'becus', 'bangdt', 'kerja']",-44,negative,"['kayak', 'gini', 'bayar', 'pajak', 'rutin', 'pelayanannya', 'becuss', 'gak', 'becus', 'bangdt', 'kerja']",kayak gini bayar pajak rutin pelayanannya becuss gak becus bangdt kerja,Topik 5 - Pembayaran/Kantor Pajak
