userName,score,content,at
Markus Nduru,5,sangat membantu 🙏 lanjutkan....!!!,2025-05-28 03:32:36
Asep ridki Rifansyah,1,rata rata aplikasi pemerintah itu jelek jelek.memang begini kualitas pemerintahan kita.,2025-05-28 01:14:06
Ayu Nurkholifah,1,aplikasi kurang berguna gak bisa buat npwp secara online mana sering macet jaringan bagus tapi setiap buka aplikasi ini gagal teris dan eror tolong cepat di perbaiki saya mau kerja terhalang sama aplikasi ini,2025-05-27 14:30:51
Fandy Parna,1,apk jelek,2025-05-27 13:46:23
Acing Mob,1,"Daftarnya Sulit, padahal sudah mengisi Data dengan Benar",2025-05-27 13:38:31
andika sitepu,4,ok,2025-05-27 09:38:40
zerial pratama,4,bagus,2025-05-27 09:09:54
ziki aziz,1,"tolong jangan dipersulit bagi yg lupa efin, cukup kirim email aktivasi ulang, gak perlu repot2 ke kpp terdekat, buang2 waktu.",2025-05-27 08:54:03
Rifka Arina Ruantika,2,aplikasi tidak bisa digunakan,2025-05-27 06:47:57
Mahmet,5,Kadang orng tidak paham memakai apk ini,2025-05-27 05:42:18
nana nana,3,"aplikasinya sudah bagus, namun untuk mendapatkan efin, nomer NPWP nya masih 15 digit, padahal di tahun ini yang baru buat NPWP, nomernya ada 16 digit, jadi tidak bisa di masukkan nomor nya",2025-05-27 05:19:19
Muhammad Ian Kurniawan,1,Aplikasi rusak,2025-05-27 02:40:10
ari teguh septian,1,ada scam nya. hati hati kena hack dan iklan,2025-05-26 16:31:38
Nurdiansyah Nurdiansyah,5,sangat membantu sekali.,2025-05-26 09:20:29
Fernando Roy Zekki,5,bgus pelyaany,2025-05-26 07:10:47
Daffa Wahyu,1,aplikasi aneh,2025-05-26 05:02:30
Desy Purba,2,"astaga untuk pengajuan lupa EFIN aja lama kali, masa terus terusan eror, tadi udah 10% gagal lagi",2025-05-26 02:46:20
Radit Satria Batang Hitam,2,ko login error knpa ya?,2025-05-25 03:36:38
komar udin,5,bagus,2025-05-24 17:33:06
Rikavaldiana Pardede,1,pelayanan jeles sekali ga bisa kasih solusi,2025-05-24 13:24:29
AQUIL FISH TANK,1,gajelas appnya,2025-05-24 12:08:59
Yusup Maulana,2,saya kurang mengerti dan memahami bagaimana penggunaan aplikasi ini...sering dapat telp mengatasnamakan Ditjen pajak...dengan berbagai alasan masalah bla-bla-bla...🙏,2025-05-24 10:57:06
Muhammad Al fatih,1,ribet,2025-05-24 03:34:12
T R I S N A,1,Gak guna !!!,2025-05-23 14:53:21
Pace Lucas,1,"sa kesal sekali, buat NPWP jadi susah semenjak jadi cortax. verif 2 hari 2 malam. bodoh sekali",2025-05-23 09:32:33
tom tom,1,"jangan nerima duit setoran pajak aja, perbaiki system web/aplikasinya. jaman digital masih lemot aja. verifikasi data sampai numpuk code otp. alhasil tidak bisa di masukkan.",2025-05-23 06:09:09
Juhanes Ariyanto,1,aneh kita yang bayar pajak kita yang laporan. dan mau laporan pun sulit dapat datanya.,2025-05-23 04:47:49
Fajar Pagi,1,masuk ke dalam app saja nggak bisa. hanya halaman depannya saja yang terbuka,2025-05-23 04:41:47
Ihya Abdillah,1,aplikasi kont (sangat bagus),2025-05-22 01:19:26
muhammad vadaq,1,gk berfungsi apk kelas negeri ini,2025-05-21 13:55:38
Bagoes Poedjo Koesoemo,1,"aplikasi lambat minta kode verifikasi ga masuk"" ke email. ga jelas",2025-05-21 05:41:04
Raju Handika,5,Good job! :),2025-05-21 05:23:43
REGI MUHAMAD FATHIR,5,"Fix dong, kaga bisa login terus udah sebulan an, saya rating tinggi biar kebaca ama si admin ini",2025-05-20 13:33:37
Aa,1,RIBET BGT TOT.,2025-05-20 08:06:54
Zainal Muttaqin,1,"pelayanan buruk banget.mudah di bikin ribet.whatsapp tidak ada fungsi nya.hanya tampilan saja ,keluhan di bikin sulit.",2025-05-19 12:50:17
hikigaya haciman,1,"di web dan apk pun sama, masa ganti no hp kudu ke kpp terdekat... tidak seperti dahulu",2025-05-19 10:22:13
Ramadiansyah,1,cuma mau ngasih tau ini aplikasi nya bukan aplikasi resmi hati-hati karna bisa retas hp kalian,2025-05-19 09:59:42
Liqimoi,1,lemot banget. gajelas. verifikasi lama banget nunggunya,2025-05-19 09:04:29
Ardan YudaT,1,"Daftarnya Lama Banget Ya?, Masa Sekelas Pemerintah Daftar Aja Lemot? Cuma Muter"" Gjls. Padahal Juga Sudah Bener isi Identitas nya",2025-05-19 08:44:39
SElvi Gaming,1,"Saya sangat kecewa sekarang, saya mau padankan NPWP dengan NIK lewat online, tetapi sekarang sudah tidak bisa,",2025-05-19 06:15:09
GIGIT BUWUNG AYAH,1,"aplikasi jmbt, kebanyakan dikrp",2025-05-19 06:02:00
Yane Maniagala,5,ok,2025-05-19 03:49:46
Momochi Momochu,1,mau buat aja di persulit,2025-05-19 02:31:06
Miss ANthyee,1,"Mau log in tapi yang muncuk error terus, kalau log in di web bisa.",2025-05-18 21:42:20
Septian Adi Putra,1,"ini aplikasi palsu gaessss, bukan dari pemerintahan direktorat jendral pajak, ingat! ini aplikasi palsu, liat aja di instagram nya royshakti yg ada centang biru nya",2025-05-18 20:48:29
Fikran,5,sangat bagus memudahkan,2025-05-18 12:39:29
Azam design,1,bgst lama amat loading nya 🤣🤣🤣,2025-05-18 09:11:10
Rangga Lutfi,1,bintang 0,2025-05-17 05:14:25
my love mom (mycupz),1,orang mau bayar pajak aja d persulit effien kenapa ga bisa online gmna mau maju ..bayar pajak aja d persulit,2025-05-17 04:36:33
Zila Rahmah,1,"aplikasi tergak niatt si ini ,baru aja mau mau daftar tp ngga bisa "" ,boro"" login apk.nya klik daftar disininya aja ngga ada,",2025-05-17 02:43:10
Muhammad Ahmad Shaabir,5,Bismillah Alhamdulillah Masya Alloh laa Quwwata Illaa Billaah Barokalloh fiikum.Segera di upgrade Aplikasinya agar semakin mudah di akses,2025-05-16 07:30:15
Asri Ari,4,bagus aplikasi nya tp Masih ada yg kurang,2025-05-15 22:26:51
Mahfud Balikpapan,1,susah apk nya error mulu,2025-05-15 13:16:45
Agus Parmadi,4,tolong di perbaiki aplikasi nya soalnya no npwp saya 16 digit tapi yg di sediakan di kolom npwp hanya 15 digit 🙏🙏,2025-05-15 10:05:05
Dodi Dwidarto,1,"kirim kode verifikasi sangat lambat, jadi harus minta kode verifikasi ulang. Dan tetap lambat lagi.......akhirnya uninstal aplikasi.",2025-05-15 08:03:54
Eko Exopets,1,login gagal d perifikasi email padahal nomer udah benerr hadeh amit2 apa2 d persulit mulu dah,2025-05-15 07:25:57
Firza Dani,1,aplikasi cacat kenapasih kebanyakan aplikasi publik punya pemerintah banyak error nya mau daftar npwp aja ga bisa bisa,2025-05-15 06:32:29
Muh. Amin Fayis,1,"APLIKASI RUSAK,MAU BUAT NPWP SERVER NYA DIREFRES MALAH BALIK KE AWAL HABISIN PULSA AJA, SERVER RUSAK!",2025-05-15 06:23:53
Lilik Cholifah,5,"Buat lansia agak kesulitan juga pengerjaannya, lebih baik datang ke kantor Pajak setempat",2025-05-15 04:06:05
Novianto Bo,1,"error terus saat login, berkali-kali notif sesi habis.",2025-05-15 03:56:19
Rajiv Sahempa,1,"Mau daftar kok ngga bisa setiap di klik menu tidak tersedia , ya klo ngga tersedia jgn buat aplikasi",2025-05-14 20:00:59
edo noviansyah,1,dongo !!!,2025-05-14 17:35:25
Yudi Setiyawan,1,"emang apa apa yg dibuat pemerintah semua sampah, sudaah berhasil registrasi. giliran cari dokumen kartu palah ga ada",2025-05-14 15:59:39
Muhammad Guntur Gimnastyar,1,jelek amat keluar mulu aplikasi nya,2025-05-14 13:10:28
"Endang Nurkholis, S.Pd.",1,"Jelek bgt, mau log in aja error bgt. jelek nungguin kode otp SMS 1 jam ga bisa2",2025-05-14 08:57:57
Chaisar Adi Pamungkas,1,gabisa login,2025-05-14 08:12:44
Tris Sutrisno,1,"sangat buruk, aplikasi nya error terus saat login",2025-05-14 02:37:08
Lutfiatul Munadhifah,5,sangat baik,2025-05-13 15:21:39
PAHRUL ROZI,1,Ribet,2025-05-13 12:11:24
Eka Saputra,1,jelek,2025-05-13 09:03:26
Taufik Maysura,1,ga guna,2025-05-13 06:02:21
Samuel Oktavianus,1,gajelas error mulu,2025-05-13 04:39:50
Toat Nadya,1,pajak gak guna ngurus online ribet MW minta efin tapi kolom cuma 15 sedangkan npwp 2025 sudah sama nik.gak ngotak .bubar aja ..,2025-05-12 16:45:35
Uncle Ze,1,aplikasi tolol,2025-05-12 03:49:11
Denny Saputro,3,"Tolong di perbarui untuk pengajuan EFIN. Karena NPWP sekarang 16 digit, sedangkan di aplikasi masih 15 digit. Terimakasih",2025-05-12 01:59:53
Jolo Simanullang,5,kurang tanggap terhadap keluhan tapi maklum harus menunggu perhitungan tahunan.,2025-05-11 16:13:55
INDO ASMR,1,"LOG IN ERORRRRRRRR ,, Bukan diperbaiki ,",2025-05-11 01:40:20
Ade Sandika Pratama,1,"susah banget mau buat NPWP kode otp tidak masuk,tanya CS gak di jawab alasan sibuk",2025-05-11 01:37:04
FahriR,1,3 nomor aku pake buat verifikasi gak masuk2 pesannya.,2025-05-10 15:53:03
Asril Mardi,1,aplikasi ngga bener,2025-05-10 11:53:10
Achmad Machrus,4,bagus,2025-05-10 05:52:04
Zakaria Zack,1,"ribet, aktivasi akun dan epin aja bagi WP pribadi harus ke kantor dengan segala aturan dll etc. sepatu. sedangkan saya baru mau bekerja kembali setelah sekian tahun lamanya menganggur. seharusnya di apk DJP online ini sediakanlah layanan online untuk aktifasi epin dan akun tanpa harus ke kantor pajak terdekat bagi kaum karyawan. karena biasanya akan terganggu jam kerjanya.",2025-05-10 05:40:31
Muhammad Alif,1,aplikasi gak guna gathel live chat ngomong sama robot 👎kirim kode otp nomor telepone sampai hanis pulsa gak dikirim kirim👎kan tolollll,2025-05-10 05:17:34
Yusuf Bahtiar,1,"update dong biar yang baru bikin npwp bisa login,mau login aja susahnya minta ampun",2025-05-10 03:44:06
A.K. Wardana,1,sering susah login,2025-05-10 02:31:09
ramsi mulya w,1,"aplikasi ga bener, sekelas pemerintahan bikin aplikasi seribet ini, alur gajelas",2025-05-10 01:57:52
M_Amri,1,"aplikasi apaan ga membantu sama sekali, mau pengajuan Efin sudah ngisi data foto wajah ehh ""terdapat kesalahan pada sistem kami Mulu"" udah coba di 2 hari sama aja gitu Mulu... niat ga si bantu warga nihh mau bener juga di persulit...",2025-05-10 01:27:42
ROELZ 1533,5,mantap,2025-05-09 15:19:32
Joko Prasetyo,1,"aplikasi ini tidak ada manfaatnya. dihapus saja dari play store, sama sekali TIDAK membantu masyarakat",2025-05-09 11:18:23
Ika Ningrum,1,aplikasi ini menipu..ini bukan aplikasi pajak tapi aplikasi scam.,2025-05-08 15:42:56
Pocophone X6,1,Aplikasi yang mempersulit pembayaran pajak,2025-05-08 11:24:37
